Query 2 Results MyISAM

|      88546 |  11040.6348 | 1995-06-16  |              0 |
|      20448 |  10872.8730 | 1995-08-03  |              0 |
|       8902 |  10717.2000 | 1995-06-20  |              0 |
|     340770 |  10114.6800 | 1995-05-27  |              0 |
|     202948 |   9951.9528 | 1995-07-11  |              0 |
|     311623 |   9722.4930 | 1995-07-17  |              0 |
|     227010 |   9660.1344 | 1995-06-21  |              0 |
|     567236 |   9240.6006 | 1995-07-01  |              0 |
|     501958 |   9065.0000 | 1995-06-13  |              0 |
|     300071 |   8747.2272 | 1995-05-21  |              0 |
|     116769 |   8424.6048 | 1995-07-17  |              0 |
|     578084 |   7631.9600 | 1995-07-06  |              0 |
|     212614 |   7442.3808 | 1995-05-18  |              0 |
|     551841 |   7417.7900 | 1995-06-23  |              0 |
|     287236 |   7407.5760 | 1995-05-24  |              0 |
|     545476 |   7239.0906 | 1995-05-21  |              0 |
|     371747 |   7031.8416 | 1995-06-23  |              0 |
|     473314 |   6741.0616 | 1995-08-14  |              0 |
|     349989 |   6691.5288 | 1995-07-15  |              0 |
|     408001 |   6580.9744 | 1995-06-08  |              0 |
|     423361 |   6274.7048 | 1995-06-04  |              0 |
|     359652 |   6016.6260 | 1995-06-18  |              0 |
|     194882 |   5854.3560 | 1995-05-06  |              0 |
|     552224 |   5480.5410 | 1995-07-22  |              0 |
|     329381 |   5164.8426 | 1995-06-19  |              0 |
|     461858 |   5027.2452 | 1995-05-12  |              0 |
|     378116 |   4880.9376 | 1995-07-05  |              0 |
|     537440 |   4826.8920 | 1995-07-10  |              0 |
|     224547 |   4740.7680 | 1995-07-06  |              0 |
|     217568 |   4516.8960 | 1995-06-02  |              0 |
|     314982 |   4422.9185 | 1995-05-15  |              0 |
|     542342 |   4333.7385 | 1995-06-18  |              0 |
|     407558 |   4042.7250 | 1995-06-01  |              0 |
|     191203 |   3811.6386 | 1995-07-26  |              0 |
|      63271 |   3769.9040 | 1995-07-27  |              0 |
|     585924 |   3563.6248 | 1995-06-06  |              0 |
|     382276 |   3483.7056 | 1995-06-23  |              0 |
|     415140 |   3396.6975 | 1995-05-22  |              0 |
|     358114 |   3335.7600 | 1995-06-03  |              0 |
|     326466 |   3162.7584 | 1995-05-28  |              0 |
|     444455 |   2691.1656 | 1995-05-31  |              0 |
|     518050 |   2684.0160 | 1995-05-29  |              0 |
|     354209 |   2562.4844 | 1995-06-07  |              0 |
|     505539 |   2393.7676 | 1995-07-10  |              0 |
|     305479 |   1884.3660 | 1995-06-17  |              0 |
|     547745 |   1497.2640 | 1995-05-31  |              0 |
|     454817 |   1278.3600 | 1995-07-20  |              0 |
|     118144 |   1218.4536 | 1995-06-09  |              0 |
|     279619 |    867.6388 | 1995-05-13  |              0 |
+------------+-------------+-------------+----------------+
964 rows in set (10 min 52.36 sec)
